arm,training_seconds,speedup_vs_gids,epochs,updates,training_examples,setup_seconds,cpu_cache_rows,gpu_cache_bytes,max_observed_monitor_query_seconds,max_observed_monitor_sample_gap_seconds,accepted_report_sha256
gids,194.6325948406011,1.0,1,1179,1207179,56.40331009589136,11105992,4294967296,0.6952259540557861,1.1961116790771484,86b07d8f047930e9154f376f04e1c51732631ca2afb45d00d2625b9b3eeb07dd
gr,196.124243946746,0.9923943665702546,1,1179,1207179,97.37874051742256,11105992,4294967296,0.8754005432128906,1.376408338546753,60a104ac6babf3bf84f5993f855945ca77250c6d67c3b0a83783ec77589720c6
ns,160.379916427657,1.213572117855508,1,1179,1207179,505.02315044403076,11105992,4294967296,0.6529970169067383,1.1539223194122314,1d8edf76b09f0fe91f2f4a798dac7e425ee1c312fc54b435d4cc52381bd944cf
digit_full,103.6949890870601,1.8769720364905167,1,1179,1207179,363.7941460367292,11105992,4294967296,0.5938904285430908,1.0947120189666748,5a5cc44f21032bd402c86ac06f4a0392d795b201b2382e67ae1a378c05eb4544
